Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
10/31/18,41131,Sun Valley,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,67,547400,0.004956857,0.012578616,0.076711251,,,2018-10,2018-Q4,547400,0,2018-10
10/31/18,33183,Northridge,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,68,694100,0.000576618,-0.000863682,0.006817522,,,2006-07,2006-Q3,717000,-0.031938633,2006-01
10/31/18,18131,Flushing,NY,New York-Newark-Jersey City,Queens County,New York,69,723900,0.006395106,0.011881465,0.101994215,,,2018-10,2018-Q4,723900,0,2018-10
10/31/18,15046,Alafaya,FL,Orlando-Kissimmee-Sanford,Orange County,Orlando,70,282400,-0.001061196,0.002840909,0.068078669,,,2006-08,2006-Q3,332300,-0.150165513,2005-11
10/31/18,27182,South Ozone Park,NY,New York-Newark-Jersey City,Queens County,New York,71,488900,0.004726675,0.008457096,0.049366817,,,2018-10,2018-Q4,488900,0,2018-10
10/31/18,267900,Ahwatukee Foothills,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,72,322700,0.005609224,0.012233375,0.054575163,,,2006-04,2006-Q2,374500,-0.138317757,2005-08
10/31/18,34213,Sylmar,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,73,512600,0.004310345,0.010049261,0.051918736,,,2006-10,2006-Q4,538800,-0.048626578,2006-03
10/31/18,113886,Boyle Heights,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,74,431300,0.007945782,0.019862852,0.058404908,,,2018-10,2018-Q4,431300,0,2018-10
10/31/18,275950,West,TX,Dallas-Fort Worth-Arlington,Tarrant County,Arlington,75,212000,0.007604563,0.021686747,0.096740817,,,2018-10,2018-Q4,212000,0,2018-10
10/31/18,46795,North Hollywood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,76,646500,0.006382316,0.02553934,0.128469192,,,2018-10,2018-Q4,646500,0,2018-10
10/31/18,54300,San Pedro,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,77,612800,0.003438677,0.006239737,0.032692956,,,2006-06,2006-Q2,622900,-0.016214481,2006-02
10/31/18,274756,North Valley,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,78,1012200,0.004067057,0.0075652,0.144763628,,,2018-10,2018-Q4,1012200,0,2018-10
10/31/18,115003,Evergreen,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,San Jose,79,1136500,0.002558222,0.006821403,0.148327776,,,2018-10,2018-Q4,1136500,0,2018-10
10/31/18,48570,Woodland Hills,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,80,815600,0.003444882,0.00815822,0.058258726,,,2018-10,2018-Q4,815600,0,2018-10
10/31/18,403553,Eldridge - West Oaks,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,81,254500,-0.000785238,-0.001569243,0.032454361,,,2018-04,2018-Q2,255200,-0.002742947,2018-04
10/31/18,27080,Sherman Oaks,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,82,949800,0.005185734,0.007104231,0.054981673,,,2018-10,2018-Q4,949800,0,2018-10
10/31/18,40215,Pacoima,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,83,460400,0.005240175,0.017908468,0.054029304,,,2006-10,2006-Q4,493600,-0.06726094,2006-03
10/31/18,196538,Murray Hill,NY,New York-Newark-Jersey City,Queens County,New York,84,897800,0.005150022,0.011263798,0.060226736,,,2018-10,2018-Q4,897800,0,2018-10
10/31/18,270318,North Raleigh,NC,Raleigh,Wake County,Raleigh,85,299400,0.002679169,0.009780776,0.043569188,,,2018-10,2018-Q4,299400,0,2018-10
10/31/18,343228,Southwest,CA,San Diego-Carlsbad,San Diego County,Chula Vista,86,473500,0.002540758,0.014570388,0.051754776,,,2006-07,2006-Q3,482100,-0.017838623,2005-06
10/31/18,37739,Canyon Country,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Santa Clarita,87,514300,0.003512195,0.006064163,0.028805761,,,2006-07,2006-Q3,545400,-0.057022369,2005-12
10/31/18,116625,Mira Mesa,CA,San Diego-Carlsbad,San Diego County,San Diego,88,600000,0.002171371,0.012829169,0.054481547,,,2018-10,2018-Q4,600000,0,2018-10
10/31/18,118872,West Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange County,Anaheim,89,570500,0,0.003694581,0.044298005,,,2006-07,2006-Q3,584800,-0.024452804,2006-03
10/31/18,273757,Forest Hills,NY,New York-Newark-Jersey City,Queens County,New York,90,914500,0.00428289,0.007269523,0.034034374,,,2018-10,2018-Q4,914500,0,2018-10
10/31/18,273348,Cordova-Appling,TN,Memphis,Shelby County,Memphis,91,159600,0.00630517,0.020460358,0.081300813,,,2018-10,2018-Q4,159600,0,2018-10
10/31/18,343868,Northwest Raleigh,NC,Raleigh,Wake County,Raleigh,92,304900,0.004943968,0.014980027,0.058680556,,,2018-10,2018-Q4,304900,0,2018-10
10/31/18,48200,Valencia,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Santa Clarita,93,570700,0.003340366,0.002635278,0.018743306,,,2006-06,2006-Q2,602200,-0.052308203,2005-10
10/31/18,40548,Reseda,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,94,531200,0.006251184,0.00950209,0.058167331,,,2006-08,2006-Q3,541700,-0.019383423,2006-05
10/31/18,275173,Ridgewood,NY,New York-Newark-Jersey City,Queens County,New York,95,809200,-0.002096436,0.010994503,0.291207914,,,2018-09,2018-Q3,810900,-0.002096436,2018-09
10/31/18,271326,Central Southwest,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,96,134900,0.006716418,0.031345566,0.081796311,,,2018-10,2018-Q4,134900,0,2018-10
10/31/18,403169,West Rogers Park,IL,Chicago-Naperville-Elgin,Cook County,Chicago,97,195000,-0.000512558,-0.01065449,0.079734219,,,2007-04,2007-Q2,268800,-0.274553571,2002-11
10/31/18,270829,East Village,NY,New York-Newark-Jersey City,New York County,New York,98,1362400,-0.001977877,-0.004675628,-0.022808779,,,2017-02,2017-Q1,1429100,-0.046672731,2016-08
10/31/18,275424,South Dorchester,MA,Boston-Cambridge-Newton,Suffolk County,Boston,99,501100,0.009061619,0.033835362,0.0841627,,,2018-10,2018-Q4,501100,0,2018-10
10/31/18,197044,Park Slope,NY,New York-Newark-Jersey City,Kings County,New York,100,1295300,-0.006824107,-0.022341309,-0.042292052,,,2018-02,2018-Q1,1365800,-0.051618099,2016-05
10/31/18,273973,Hickory Ridge-South Riverdale,TN,Memphis,Shelby County,Memphis,101,111500,0.00631769,0.021062271,0.155440415,,,2018-10,2018-Q4,111500,0,2018-10
10/31/18,403558,South Belt - Ellington,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,102,170800,0.001759531,0.012448133,0.076923077,,,2018-10,2018-Q4,170800,0,2018-10
10/31/18,13176,Panorama City,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,103,475600,0.005709452,0.01754386,0.079192194,,,2006-09,2006-Q3,496400,-0.041901692,2006-04
10/31/18,274117,Jackson Heights,NY,New York-Newark-Jersey City,Queens County,New York,104,567500,-0.006303625,-0.009944173,0.092606854,,,2018-08,2018-Q3,574800,-0.01270007,2018-07
10/31/18,238122,Greater Fondren Southwest,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,105,162700,0.008679479,0.026498423,0.12907703,,,2018-10,2018-Q4,162700,0,2018-10
10/31/18,232166,Clear Lake,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,106,228700,0.005716799,0.020071365,0.098463016,,,2018-10,2018-Q4,228700,0,2018-10
10/31/18,343869,Northeast Raleigh,NC,Raleigh,Wake County,Raleigh,107,195200,0.007743934,0.028451001,0.087465181,,,2018-10,2018-Q4,195200,0,2018-10
10/31/18,246678,Princess Anne,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,Virginia Beach,108,331600,0,0.00241838,0.035602748,,,2006-08,2006-Q3,334200,-0.007779773,2006-05
10/31/18,275471,Southeast Colorado Springs,CO,Colorado Springs,El Paso County,Colorado Springs,109,215700,0.010777882,0.031070746,0.126370757,,,2018-10,2018-Q4,215700,0,2018-10
10/31/18,51128,Brentwood,NY,New York-Newark-Jersey City,Suffolk County,Islip,110,297900,0.017070673,0.03581363,0.095623391,,,2007-05,2007-Q2,374700,-0.204963971,2004-11
10/31/18,270886,Midwood,NY,New York-Newark-Jersey City,Kings County,New York,111,943100,-0.00105921,-0.001376535,0.072557716,,,2018-08,2018-Q3,945400,-0.002432833,2018-07
10/31/18,273540,East Colorado Springs,CO,Colorado Springs,El Paso County,Colorado Springs,112,252500,0.007581804,0.01937828,0.090712743,,,2018-10,2018-Q4,252500,0,2018-10
10/31/18,45032,East Elmhurst,NY,New York-Newark-Jersey City,Queens County,New York,113,720500,0.00516183,0.010518934,0.085580835,,,2018-10,2018-Q4,720500,0,2018-10
10/31/18,274771,Northeast Colorado Springs,CO,Colorado Springs,El Paso County,Colorado Springs,114,288000,0.008050403,0.024911032,0.093394077,,,2018-10,2018-Q4,288000,0,2018-10
10/31/18,403215,Gravesend,NY,New York-Newark-Jersey City,Kings County,New York,115,912500,0.000767712,0.004071303,0.072015977,,,2018-10,2018-Q4,912500,0,2018-10
10/31/18,403542,Kingwood,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,116,238600,0.004208754,0.001258917,0.012303776,,,2018-04,2018-Q2,241800,-0.013234078,2018-02
10/31/18,193182,Bath Beach,NY,New York-Newark-Jersey City,Kings County,New York,117,693800,-0.000144113,0.002021953,0.051690162,,,2018-09,2018-Q3,693900,-0.000144113,2018-08
